46 mini_c2tm_244.seq 4.0, 2.26, -3.5, 102.8, -9.312, [20.0], [1], [180], -3.5
42 mini_c2tm_245.seq 4.0, 2.26, -4.0, 102.8, -10.657, [20.0], [1], [180], 2.0
40 mini_c2tm_246.seq 4.0, 2.26, -4.0, 102.8, -10.657, [20.0], [1], [180], 2.5
46 mini_c2tm_247.seq 4.0, 2.26, -4.0, 102.8, -10.657, [20.0], [1], [180], 3.0
42 mini_c2tm_248.seq 4.0, 2.26, -4.0, 102.8, -10.657, [20.0], [1], [180], -2.0
40 mini_c2tm_249.seq 4.0, 2.26, -4.0, 102.8, -10.657, [20.0], [1], [180], -2.5
19 mini_c2tm_24.seq 3.8, 2.26, -3.0, 102.8, -7.572, [20.0], [1], [180], -2.0
46 mini_c2tm_250.seq 4.0, 2.26, -4.0, 102.8, -10.657, [20.0], [1], [180], -3.0
44 mini_c2tm_251.seq 4.0, 2.26, -4.0, 102.8, -10.657, [20.0], [1], [180], -3.5
52 mini_c2tm_252.seq 4.0, 2.26, -3.0, 102.8, -7.973, [30.0], [1], [180], 2.0
48 mini_c2tm_253.seq 4.0, 2.26, -3.0, 102.8, -7.973, [30.0], [1], [180], 2.5
49 mini_c2tm_254.seq 4.0, 2.26, -3.0, 102.8, -7.973, [30.0], [1], [180], 3.0
52 mini_c2tm_255.seq 4.0, 2.26, -3.0, 102.8, -7.973, [30.0], [1], [180], -2.0
48 mini_c2tm_256.seq 4.0, 2.26, -3.0, 102.8, -7.973, [30.0], [1], [180], -2.5
49 mini_c2tm_257.seq 4.0, 2.26, -3.0, 102.8, -7.973, [30.0], [1], [180], -3.0
52 mini_c2tm_258.seq 4.0, 2.26, -3.0, 102.8, -7.973, [30.0], [1], [180], -3.5
47 mini_c2tm_259.seq 4.0, 2.26, -3.5, 102.8, -9.312, [30.0], [1], [180], 2.0
26 mini_c2tm_25.seq 3.8, 2.26, -3.0, 102.8, -7.572, [20.0], [1], [180], -2.5
41 mini_c2tm_260.seq 4.0, 2.26, -3.5, 102.8, -9.312, [30.0], [1], [180], 2.5
49 mini_c2tm_261.seq 4.0, 2.26, -3.5, 102.8, -9.312, [30.0], [1], [180], 3.0
