# (chains, chL, r0, r1, w0, w1, a, ph1, cr, dph0, zoff, varargin)
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [120.0, 120.0, 120.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [125.0, 125.0, 125.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.125, 100.125, -0.455, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.375, 100.375, -1.366, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.625, 100.625, -2.277, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -0.875, 100.875, -3.189, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.125, 101.125, -4.101, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.375, 101.375, -5.015, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.625, 101.625, -5.929, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -1.875, 101.875, -6.846, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.125, 102.125, -7.764, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.375, 102.375, -8.684, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.625, 102.625, -9.606, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.5, 2.26, -2.875, 102.875, -10.531, [130.0, 130.0, 130.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.125, 100.125, -0.466, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.375, 100.375, -1.397, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.625, 100.625, -2.329, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.875, 100.875, -3.261, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.125, 101.125, -4.195, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.375, 101.375, -5.129, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.625, 101.625, -6.065, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.875, 101.875, -7.002, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.125, 102.125, -7.941, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.375, 102.375, -8.883, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.625, 102.625, -9.827, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.875, 102.875, -10.773, [75.0, 75.0, 75.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.125, 100.125, -0.466, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.375, 100.375, -1.397, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.625, 100.625, -2.329, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.875, 100.875, -3.261, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.125, 101.125, -4.195, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.375, 101.375, -5.129, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.625, 101.625, -6.065, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -1.875, 101.875, -7.002, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.125, 102.125, -7.941, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.375, 102.375, -8.883, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.625, 102.625, -9.827, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -2.875, 102.875, -10.773, [80.0, 80.0, 80.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.125, 100.125, -0.466, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.375, 100.375, -1.397, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.625, 100.625, -2.329, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
3, 32, 5.625, 2.26, -0.875, 100.875, -3.261, [85.0, 85.0, 85.0], [1 1], [120, 240], [0.0 0.0], 'zoffaa'
